seed,method,variant,target_deg,baseline_mean_deg,guided_mean_deg,baseline_std_deg,guided_std_deg,requested_change_deg,achieved_change_deg,signed_error_deg,abs_error_deg,frame_hit_band,final_summary_in_band,loose_hit,positive_overshoot_deg,negative_undershoot_deg,overshoot_p90_deg,temporal_corr,phase_valid_fraction,active_frame_count
118,V2,v2-dps,20,-13.852152824401855,19.710025787353516,2.639491558074951,0.8011787533760071,33.852152824401855,33.56217861175537,-0.2899742126464844,0.2899742126464844,1.0,1.0,1.0,0.0,0.0,0.787150573730469,0.0660870298743248,1.0,120
119,V2,v2-dps,20,-11.634093284606934,19.925670623779297,1.5475184917449951,1.1017487049102783,31.634093284606934,31.55976390838623,-0.07432937622070312,0.07432937622070312,0.95,1.0,1.0,0.6262909770011902,0.0,1.3440338134765628,0.2620794475078583,1.0,120
120,V2,v2-dps,20,-8.646943092346191,20.338035583496094,3.175762414932251,1.5230666399002075,28.64694309234619,28.984978675842285,0.33803558349609375,0.33803558349609375,0.8333333333333334,0.7666666666666667,0.9583333333333334,1.2691280841827393,0.0,2.8661066055297866,-0.20208914577960968,1.0,120
121,V2,v2-dps,20,-8.840962409973145,20.166303634643555,1.4293769598007202,1.088761329650879,28.840962409973145,29.0072660446167,0.1663036346435547,0.1663036346435547,0.9416666666666667,1.0,1.0,0.4807502329349518,0.0,1.5124305725097658,0.053612854331731796,1.0,120
122,V2,v2-dps,20,-11.860310554504395,19.419889450073242,2.1958227157592773,0.6570830345153809,31.860310554504395,31.280200004577637,-0.5801105499267578,0.5801105499267578,1.0,1.0,1.0,0.0,0.0,0.3132802963256837,0.32046806812286377,1.0,120
123,V2,v2-dps,20,-9.28106689453125,20.2325439453125,1.9293659925460815,1.2053288221359253,29.28106689453125,29.51361083984375,0.2325439453125,0.2325439453125,0.9166666666666666,1.0,1.0,0.5392282009124756,0.07145881652832031,1.881860733032227,0.2147764414548874,1.0,120
124,V2,v2-dps,20,-8.622005462646484,19.492097854614258,1.7316021919250488,1.00667142868042,28.622005462646484,28.114103317260742,-0.5079021453857422,0.5079021453857422,1.0,1.0,1.0,0.0,0.0,1.161942100524903,-0.17245784401893616,1.0,120
125,V2,v2-dps,20,-10.259942054748535,20.735942840576172,1.786420464515686,0.624316394329071,30.259942054748535,30.995884895324707,0.7359428405761719,0.7359428405761719,0.9416666666666667,1.0,1.0,0.5340777635574341,0.0,1.346393966674806,-0.32822009921073914,1.0,120
126,V2,v2-dps,20,-11.024067878723145,19.57320213317871,2.0132243633270264,0.9408783912658691,31.024067878723145,30.597270011901855,-0.42679786682128906,0.42679786682128906,1.0,1.0,1.0,0.0,0.0,0.9669792175292968,0.34727051854133606,1.0,120
127,V2,v2-dps,20,-10.020865440368652,19.848005294799805,2.2862966060638428,1.1087892055511475,30.020865440368652,29.868870735168457,-0.1519947052001953,0.1519947052001953,0.9083333333333333,0.9666666666666667,1.0,0.2452816367149353,0.08599472045898438,1.7121143341064455,0.3694843053817749,1.0,120
128,V2,v2-dps,20,-13.605509757995605,19.281211853027344,2.099303960800171,0.8636224269866943,33.605509757995605,32.88672161102295,-0.7187881469726562,0.7187881469726562,0.9916666666666667,1.0,1.0,0.2049846649169922,0.0,0.5162631988525399,-0.09380343556404114,1.0,120
129,V2,v2-dps,20,-8.802777290344238,19.4512939453125,1.5546592473983765,0.8270134329795837,28.80277729034424,28.25407123565674,-0.5487060546875,0.5487060546875,1.0,1.0,1.0,0.0,0.0,0.8450782775878909,0.5391091704368591,1.0,120
100,V6,v6-closed-loop,20,-9.510052680969238,18.271337509155273,2.2420742511749268,0.9722467064857483,29.51005268096924,27.78139019012451,-1.7286624908447266,1.7286624908447266,0.5833333333333334,1.0,1.0,0.0,0.6966906189918518,0.0,0.013865897431969643,1.0,120
101,V6,v6-closed-loop,20,-11.319366455078125,18.916831970214844,2.1665756702423096,0.8232041597366333,31.319366455078125,30.23619842529297,-1.0831680297851562,1.0831680297851562,0.825,1.0,1.0,0.0,0.4163304269313812,0.00039329528808597103,0.46280187368392944,1.0,120
102,V6,v6-closed-loop,20,-11.406973838806152,18.841318130493164,1.656176209449768,1.0083154439926147,31.406973838806152,30.248291969299316,-1.158681869506836,1.158681869506836,0.8416666666666667,0.9666666666666667,1.0,0.0,0.9234641194343567,0.0,0.6168782114982605,1.0,120
103,V6,v6-closed-loop,20,-12.250454902648926,18.815229415893555,2.208040952682495,0.9199525117874146,32.250454902648926,31.06568431854248,-1.1847705841064453,1.1847705841064453,0.825,1.0,1.0,0.0,0.5496106147766113,0.12589893341064462,0.4128883481025696,1.0,120
104,V6,v6-closed-loop,20,-8.227640151977539,17.4945125579834,1.8956193923950195,0.6696307063102722,28.22764015197754,25.722152709960938,-2.5054874420166016,2.5054874420166016,0.20833333333333334,0.3,1.0,0.0,0.7583437561988831,0.0,0.07084941864013672,1.0,120
105,V6,v6-closed-loop,20,-8.172856330871582,18.771461486816406,1.4535088539123535,0.6230815649032593,28.172856330871582,26.94431781768799,-1.2285385131835938,1.2285385131835938,0.8666666666666667,1.0,1.0,0.0,0.33274102210998535,0.0,0.24904760718345642,1.0,120
106,V6,v6-closed-loop,20,-11.71451187133789,19.634729385375977,1.7832804918289185,0.7384145259857178,31.71451187133789,31.349241256713867,-0.36527061462402344,0.36527061462402344,0.95,1.0,1.0,0.0,0.12008126825094223,0.5734039306640627,0.11298981308937073,1.0,120
107,V6,v6-closed-loop,20,-11.362890243530273,19.62384605407715,2.2443366050720215,1.0209519863128662,31.362890243530273,30.986736297607422,-0.37615394592285156,0.37615394592285156,0.9416666666666667,1.0,1.0,0.0,0.5999121069908142,0.7928651809692385,0.1429244577884674,1.0,120
108,V6,v6-closed-loop,20,-11.358991622924805,19.247718811035156,1.5525517463684082,0.784751832485199,31.358991622924805,30.60671043395996,-0.7522811889648438,0.7522811889648438,0.9416666666666667,1.0,1.0,0.0,0.7686939239501953,0.17198448181152348,0.44928234815597534,1.0,120
109,V6,v6-closed-loop,20,-10.361654281616211,19.795732498168945,1.4693316221237183,1.0105340480804443,30.36165428161621,30.157386779785156,-0.2042675018310547,0.2042675018310547,0.9666666666666667,1.0,1.0,0.0,0.08841896057128906,1.2345300674438477,0.5874626040458679,1.0,120
110,V6,v6-closed-loop,20,-11.471559524536133,18.918542861938477,2.7576687335968018,0.9938335418701172,31.471559524536133,30.39010238647461,-1.0814571380615234,1.0814571380615234,0.8583333333333333,1.0,1.0,0.0,1.0298395156860352,0.0,0.13784633576869965,1.0,120
111,V6,v6-closed-loop,20,-14.111884117126465,19.529943466186523,3.1291751861572266,1.0259623527526855,34.111884117126465,33.64182758331299,-0.47005653381347656,0.47005653381347656,0.925,1.0,1.0,0.0,0.7049410343170166,0.8154260635375984,0.27345287799835205,1.0,120
112,V6,v6-closed-loop,20,-11.967000007629395,19.311946868896484,2.0751771926879883,2.3058152198791504,31.967000007629395,31.27894687652588,-0.6880531311035156,0.6880531311035156,0.7583333333333333,1.0,0.8666666666666667,1.4977452754974365,2.8044817447662354,0.9730998992919926,-0.05313599854707718,1.0,120
113,V6,v6-closed-loop,20,-7.059822082519531,17.81140899658203,1.591224193572998,0.7633280158042908,27.05982208251953,24.871231079101562,-2.1885910034179688,2.1885910034179688,0.375,0.43333333333333335,1.0,0.0,0.6660813689231873,0.0,0.0021047196350991726,1.0,120
114,V6,v6-closed-loop,20,-10.810739517211914,18.60430145263672,1.340004324913025,1.1152682304382324,30.810739517211914,29.415040969848633,-1.3956985473632812,1.3956985473632812,0.7833333333333333,1.0,0.9583333333333334,0.0,1.1359903812408447,0.0,0.497894287109375,1.0,120
115,V6,v6-closed-loop,20,-10.947043418884277,17.523029327392578,1.3255038261413574,0.667448878288269,30.947043418884277,28.470072746276855,-2.476970672607422,2.476970672607422,0.225,0.1,1.0,0.0,0.7286503314971924,0.0,0.3240888714790344,1.0,120
116,V6,v6-closed-loop,20,-9.360790252685547,19.704486846923828,2.861053943634033,1.0255471467971802,29.360790252685547,29.065277099609375,-0.2955131530761719,0.2955131530761719,0.925,1.0,1.0,0.17702198028564453,0.5019991993904114,0.8608575820922854,0.36064520478248596,1.0,120
117,V6,v6-closed-loop,20,-10.202238082885742,18.964664459228516,1.7716076374053955,0.7338695526123047,30.202238082885742,29.166902542114258,-1.0353355407714844,1.0353355407714844,0.9333333333333333,1.0,1.0,0.0,0.47413110733032227,0.0,0.11924191564321518,1.0,120
118,V6,v6-closed-loop,20,-13.858439445495605,18.88087272644043,2.6403677463531494,1.0379743576049805,33.858439445495605,32.739312171936035,-1.1191272735595703,1.1191272735595703,0.825,1.0,1.0,0.0,0.8255297541618347,0.04556560516357427,0.49449869990348816,1.0,120
119,V6,v6-closed-loop,20,-11.640562057495117,19.517704010009766,1.5479365587234497,1.2102656364440918,31.640562057495117,31.158266067504883,-0.4822959899902344,0.4822959899902344,0.8083333333333333,0.5,1.0,0.26453399658203125,0.3994280993938446,0.9787866592407227,0.5534296035766602,1.0,120
120,V6,v6-closed-loop,20,-8.651925086975098,18.78851318359375,3.1748130321502686,1.2892860174179077,28.651925086975098,27.440438270568848,-1.21148681640625,1.21148681640625,0.7333333333333333,0.9666666666666667,1.0,0.0,0.822466254234314,0.34060344696045,0.06895310431718826,1.0,120
121,V6,v6-closed-loop,20,-8.85995864868164,20.945247650146484,1.4240235090255737,1.4791393280029297,28.85995864868164,29.805206298828125,0.9452476501464844,0.9452476501464844,0.625,0.3333333333333333,1.0,0.3864491283893585,0.7483876347541809,2.3383575439453126,0.5097392201423645,1.0,120
122,V6,v6-closed-loop,20,-11.82467269897461,16.755094528198242,2.185424566268921,0.6285345554351807,31.82467269897461,28.57976722717285,-3.244905471801758,3.244905471801758,0.0,0.0,0.8583333333333333,0.0,1.244905948638916,0.0,0.3332880139350891,1.0,120
123,V6,v6-closed-loop,20,-9.14763355255127,19.941654205322266,1.898294448852539,1.3137341737747192,29.14763355255127,29.089287757873535,-0.058345794677734375,0.058345794677734375,0.875,1.0,1.0,0.0,0.9003761410713196,1.2764907836914066,0.48207345604896545,1.0,120
